ID,Name,Concepticon_ID,Concepticon_Gloss
1_all,all,98,ALL
2_ashes,ashes,646,ASH
3_bark,bark,1204,BARK
4_belly,belly,1251,BELLY
5_big,big,1202,BIG
6_bird,bird,937,BIRD
7_bite,bite,1403,BITE
8_black,black,163,BLACK
9_blood,blood,946,BLOOD
10_bone,bone,1394,BONE
11_breast,breast,1402,BREAST
12_burntr,burn tr.,141,BURN (SOMETHING)
13_clawnail,claw (nail),2128,CLAW OR NAIL
14_cloud,cloud,1489,CLOUD
15_cold,cold,1287,COLD
16_come,come,1446,COME
17_die,die,1494,DIE
18_dog,dog,2009,DOG
19_drink,drink,1401,DRINK
20_dry,dry,1398,DRY
21_ear,ear,1247,EAR
22_earth,earth,1228,EARTH (SOIL)
23_eat,eat,1336,EAT
24_egg,egg,744,EGG
25_eye,eye,1248,EYE
26_fatn,fat n.,1282,FAT (FROM ANIMALS)
27_feather,feather,1201,FEATHER
28_fire,fire,221,FIRE
29_fish,fish,227,FISH
30_flyv,fly v.,1441,FLY (MOVE THROUGH AIR)
31_foot,foot,1301,FOOT
32_full,full,1429,FULL
33_give,give,1447,GIVE
34_good,good,1035,GOOD
35_green,green,1425,GREEN
36_hair,hair,1040,HAIR
37_hand,hand,1277,HAND
38_head,head,1256,HEAD
39_hear,hear,1408,HEAR
40_heart,heart,1223,HEART
41_horn,horn,1393,HORN (ANATOMY)
42_i,I,1209,I
43_kill,kill,1417,KILL
44_knee,knee,1371,KNEE
45_know,know,1410,KNOW (SOMETHING)
46_leaf,leaf,628,LEAF
47_lie,lie,1411,LIE (REST)
48_liver,liver,1224,LIVER
49_long,long,1203,LONG
50_louse,louse,1392,LOUSE
51_man,man,1554,MAN
52_many,many,1198,MANY
53_meat,meat,634,MEAT
54_moon,moon,1313,MOON
55_mountain,mountain,639,MOUNTAIN
56_mouth,mouth,674,MOUTH
57_name,name,1405,NAME
58_neck,neck,1333,NECK
59_new,new,1231,NEW
60_night,night,1233,NIGHT
61_nose,nose,1221,NOSE
62_not,not,1240,NOT
63_one,one,1493,ONE
64_person,person,683,PERSON
65_rain,rain,658,RAIN (PRECIPITATION)
66_red,red,156,RED
67_road,road,667,ROAD
68_root,root,670,ROOT
69_round,round,1395,ROUND
70_sand,sand,671,SAND
71_say,say,1458,SAY
72_see,see,1409,SEE
73_seed,seed,714,SEED
74_sit,sit,1416,SIT
75_skin,skin,763,SKIN
76_sleep,sleep,1585,SLEEP
77_small,small,1246,SMALL
78_smoke,smoke,778,SMOKE (EXHAUST)
79_stand,stand,1442,STAND
80_star,star,1430,STAR
81_stone,stone,857,STONE
82_sun,sun,1343,SUN
83_swim,swim,1439,SWIM
84_tail,tail,1220,TAIL
85_that,that,78,THAT
86_this,this,1214,THIS
87_thou,thou,1215,THOU
88_tongue,tongue,1205,TONGUE
89_tooth,tooth,1380,TOOTH
90_tree,tree,906,TREE
91_two,two,1498,TWO
92_walkgo,walk(go),1443,WALK
93_warm,warm,1232,WARM
94_water,water,948,WATER
95_we,we,1212,WE
96_what,what,1236,WHAT
97_white,white,1335,WHITE
98_who,who,1235,WHO
99_woman,woman,962,WOMAN
100_yellow,yellow,1424,YELLOW
